what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1359933908401
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1359933908413
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1359933908427
os,sysinfo,,,"macosx",1359933908431
arch,sysinfo,,,"x86",1359933908431
ws,sysinfo,,,"cocoa",1359933908431
locale,sysinfo,,,"en_US",1359933908431
processors,sysinfo,,,"2",1359933908431
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1359933908431
java.runtime.version,sysinfo,,,"1.6.0_39-b04-442-10M4008",1359933908431
java.specification.name,sysinfo,,,"Java Platform API Specification",1359933908431
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1359933908431
java.specification.version,sysinfo,,,"1.6",1359933908431
java.vendor,sysinfo,,,"Apple Inc.",1359933908431
java.version,sysinfo,,,"1.6.0_39",1359933908431
java.vm.info,sysinfo,,,"mixed mode",1359933908431
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1359933908431
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1359933908431
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1359933908431
java.vm.specification.version,sysinfo,,,"1.0",1359933908431
java.vm.vendor,sysinfo,,,"Apple Inc.",1359933908431
java.vm.version,sysinfo,,,"20.14-b01-442",1359933908431
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1359933908464
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1359933908769
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1359933909634
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1359933909904
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1359933909985
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1359933910227
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1359933910247
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1359933910253
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1359933910836
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1359934095184
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1359934095185
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359934095313
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.linkWithEditor",1359934114258
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1359934120797
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1359934121398
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1359934121525
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1359934123487
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1359934123687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359934235716
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359934452259
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1359934462235
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1359934463533
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1359934463589
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1359934464507
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1359934469493
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359934473092
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1359934475600
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359934476212
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359934485548
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359934642018
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359934672302
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359934711767
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1359934776936
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1359934777132
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1359934779300
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1359934826726
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1359934828924
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359934883543
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359934885279
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359934886128
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359935043783
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1359935059927
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1359935065287
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359935066126
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359935078167
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1359935093030
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1359935094987
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359935095743
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359935129669
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1359935192498
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1359935194047
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1359935197811
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1359935204493
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359935232771
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359935269722
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359935269853
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359935271284
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1359935275413
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359935290774
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1359935293205
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1359935343592
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1359935346464
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359935349213
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1359935363309
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1359935366618
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359935393091
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359935396556
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359935396731
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359935397758
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1359935404424
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1359935404468
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359935425571
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1359935428020
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1359935428316
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1359935428566
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1359935429855
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1359935437992
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1359935446990
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1359935453653
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1359935464170
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359935465415
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1359935472983
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359935475825
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359936152936
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1359936153570
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359936173150
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359936569435
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359936623864
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359936702015
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359936702997
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359936705767
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359936706603
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359936757399
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359936758038
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359936800211
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359936802441
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359936868867
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359936942056
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359936943847
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359937041771
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359937060516
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359937143251
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359937250744
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359937251436
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359937277440
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359937284669
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359937316501
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359937317129
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359937521346
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359937522546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359937533430
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359937562572
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359937691241
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359937723887
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359937725695
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359937738310
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359937742479
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359937760217
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359937766736
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359937783481
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359937784725
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359937828445
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359937849402
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359937851260
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359937857433
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359937877093
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1359937891809
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1359937892109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1359937892360
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1359937892578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1359937893530
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1359937893769
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359937894413
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359937915839
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359937929793
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359937931224
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359937956102
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359937957076
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359938016442
